iter	Passed	Remaining
455	947	1130
456	948	1127
457	951	1125
458	952	1123
459	954	1120
460	956	1118
461	958	1115
462	959	1112
463	960	1109
464	961	1106
465	963	1104
466	964	1101
467	965	1097
468	966	1094
469	968	1092
470	971	1090
471	972	1087
472	976	1088
473	977	1085
474	978	1082
475	980	1078
476	981	1076
477	983	1073
478	983	1070
479	984	1066
480	985	1063
481	986	1060
482	988	1058
483	989	1054
484	990	1051
485	991	1048
486	992	1045
487	996	1045
488	997	1042
489	997	1038
490	998	1035
491	1000	1032
492	1001	1029
493	1001	1026
494	1002	1022
495	1003	1019
496	1003	1016
497	1004	1012
498	1006	1010
499	1007	1007
500	1008	1004
501	1009	1001
502	1010	998
503	1011	995
504	1012	992
505	1013	989
506	1014	986
507	1015	983
508	1016	980
509	1017	977
510	1018	974
511	1019	971
512	1020	968
513	1021	965
514	1022	962
515	1023	960
516	1025	957
517	1026	955
518	1027	952
519	1028	949
520	1029	946
521	1031	944
522	1032	941
523	1033	939
524	1034	936
525	1035	933
526	1037	930
527	1038	928
528	1040	926
529	1041	923
530	1044	922
531	1045	919
532	1045	916
533	1046	913
534	1047	910
535	1049	908
536	1050	905
537	1051	903
538	1052	900
539	1053	897
540	1053	894
541	1057	893
542	1058	890
543	1059	888
544	1060	885
545	1061	882
546	1062	880
547	1063	877
548	1064	874
549	1065	871
550	1066	868
551	1067	866
552	1068	863
553	1069	860
554	1069	857
555	1070	855
556	1071	852
557	1072	849
558	1075	848
559	1076	846
560	1077	843
561	1078	840
562	1081	839
563	1082	836
564	1082	833
565	1083	831
566	1085	828
567	1086	826
568	1088	824
569	1089	822
570	1090	819
571	1091	816
572	1093	814
573	1094	812
574	1095	809
575	1096	807
576	1100	807
577	1101	804
578	1103	802
579	1104	799
580	1106	798
581	1107	795
582	1108	793
583	1109	790
584	1111	788
585	1112	785
586	1115	784
587	1116	782
588	1122	783
589	1125	782
590	1127	779
591	1129	778
592	1134	778
593	1135	776
594	1137	774
595	1138	771
596	1140	770
597	1141	767
598	1142	764
599	1143	762
600	1145	760
601	1146	758
602	1147	755
603	1149	753
604	1154	753
605	1157	752
606	1158	750
607	1160	747
608	1161	745
609	1165	745
610	1167	743
611	1169	741
612	1171	739
613	1172	737
614	1176	736
615	1181	736
616	1186	736
617	1190	735
618	1192	733
619	1193	731
620	1196	729
621	1197	727
622	1199	725
623	1201	723
624	1202	721
625	1203	718
626	1204	716
627	1205	713
628	1206	711
629	1208	709
630	1209	707
631	1210	704
632	1211	702
633	1213	700
634	1215	698
635	1217	696
636	1219	694
637	1221	693
638	1227	693
639	1228	691
640	1230	688
641	1231	686
642	1233	684
643	1234	682
644	1235	679
645	1236	677
646	1240	676
647	1241	674
648	1244	672
649	1246	671
650	1247	668
651	1249	666
652	1250	664
653	1253	662
654	1253	660
655	1255	658
656	1256	656
657	1258	654
658	1259	651
659	1260	649
660	1262	647
661	1263	645
662	1264	642
663	1265	640
664	1266	637
665	1268	636
666	1269	633
667	1270	631
668	1271	629
669	1272	626
670	1274	624
671	1275	622
672	1276	620
673	1277	618
674	1278	615
675	1280	613
676	1281	611
677	1282	608
678	1282	606
679	1283	604
680	1284	601
681	1285	599
682	1287	597
683	1287	595
684	1288	592
685	1289	590
686	1290	588
687	1292	586
688	1293	583
689	1294	581
690	1295	579
691	1296	576
692	1296	574
693	1298	572
694	1299	570
695	1300	567
696	1300	565
697	1301	563
698	1302	560
699	1303	558
700	1305	556
701	1306	554
702	1306	552
703	1307	549
704	1308	547
705	1309	545
706	1310	543
707	1312	541
708	1312	538
709	1313	536
710	1314	534
711	1315	531
712	1315	529
713	1317	527
714	1318	525
715	1319	523
716	1320	521
717	1321	518
718	1321	516
719	1323	514
720	1324	512
721	1325	510
722	1326	508
723	1327	506
724	1328	503
725	1330	502
726	1333	500
727	1338	499
728	1339	497
729	1340	495
730	1343	494
731	1344	492
732	1344	489
733	1345	487
734	1346	485
735	1347	483
736	1349	481
737	1350	479
